Nome;CPF;Data de Nascimento;Telefone;Email;Gênero;Bairro;Faixa;Graus;Turma;Status;Data de Matrícula;Última Graduação
"Alice Naves dos Santos";"111.000.001.01";"2019-03-13";"(61) 98431-2386";"alice.naves.dos.santos@sfbjj.com.br";"Feminino";"Asa Sul";"Branca";"0";"Kids";"Ativo";"2026-03-16";"2026-03-16"
"Andrigo Rodrigues Ramos";"111.000.001.02";"1983-11-22";"(61) 98427-7376";"andrigo.rodrigues.ramos@sfbjj.com.br";"Masculino";"Guará";"Preta";"0";"Adulto";"Ativo";"2016-01-01";"2016-01-01"
"Arthur Antonoff Dos Santos";"111.000.001.03";"1991-09-21";"(61) 98441-2626";"arthur.antonoff.dos.santos@sfbjj.com.br";"Masculino";"Guará";"Preta";"0";"Adulto";"Ativo";"2020-01-01";"2020-01-01"
"Arthur Barbosa Cardoso";"111.000.001.04";"2011-10-09";"(61) 8291-0013";"arthur.barbosa.cardoso@sfbjj.com.br";"Masculino";"Vila Telebrasiia";"Branca";"2";"Adulto";"Ativo";"2026-06-03";"2026-06-03"
"Bento Naves dos Santos";"111.000.001.05";"2022-01-30";"(61) 98297-7016";"bento.naves.dos.santos@sfbjj.com.br";"Masculino";"Park Way";"Branca";"0";"Kids";"Ativo";"2026-03-15";"2026-03-15"
"Breno Carlos Soares Fernandes";"111.000.001.06";"1995-02-10";"(61) 98258-4490";"breno.carlos.soares.fernandes@sfbjj.com.br";"Masculino";"Asa Sul";"Azul";"2";"Adulto";"Ativo";"2021-05-10";"2025-08-23"
"Bruno Moreira Galvão Bello";"111.000.001.07";"1993-12-19";"(61) 98297-7016";"bruno.moreira.galvao.bello@sfbjj.com.br";"Masculino";"Park Way";"Branca";"4";"Adulto";"Inativo";"2023-01-15";"2025-12-11"
"Caio César Dias Barros";"111.000.001.08";"2011-06-19";"(61) 99196-7932";"caio.cesar.dias.barros@sfbjj.com.br";"Masculino";"Santa Maria";"Verde";"0";"Kids";"Ativo";"2026-08-02";"2026-08-02"
"Carlos Miranda Barbosa Soares";"111.000.001.09";"1986-03-29";"(61) 98154-0523";"carlos.miranda.barbosa.soares@sfbjj.com.br";"Masculino";"Vicente Pires";"Preta";"0";"Adulto";"Inativo";"2018-02-10";"2025-08-23"
"Daniel Costa Corrêa Leite Muniz";"111.000.001.10";"1982-01-05";"(61) 99912-9694";"daniel.costa.correa.leite.muniz@sfbjj.com.br";"Masculino";"Águas Claras";"Azul";"0";"Adulto";"Ativo";"2022-08-15";"2025-08-23"
"Daniel de Assis Nascimento";"111.000.001.11";"2002-11-21";"(61) 99962-5435";"daniel.de.assis.nascimento@sfbjj.com.br";"Masculino";"Asa Sul";"Azul";"0";"Adulto";"Ativo";"2023-01-10";"2025-08-23"
"Daniel dos Santos";"111.000.001.12";"2007-05-25";"(61) 98192-9046";"daniel.dos.santos@sfbjj.com.br";"Masculino";"Asa sul";"Branca";"0";"Adulto";"Inativo";"2025-01-10";"2026-01-01"
"David de Souza Ferrer dos Santos";"111.000.001.13";"1989-06-06";"(61) 98505-7222";"david.de.souza.ferrer.dos.santos@sfbjj.com.br";"Masculino";"Guará";"Azul";"2";"Adulto";"Ativo";"2022-03-15";"2025-08-23"
